8,4,1048.000000
0,7,6279.000000
3,1,3593.000000
2,6,2569.000000
3,6,4091.000000
2,5,9169.000000
7,2,9606.000000
6,4,7987.000000
4,5,1134.000000
1,2,1774.000000
9,7,9434.000000
3,8,5121.000000
6,0,2138.000000
4,6,108.000000
1,8,4587.000000
1,8,2945.000000
2,8,6649.000000
7,8,3868.000000
1,8,5630.000000
3,1,9083.000000
1,2,1040.000000
4,2,6583.000000
4,2,7946.000000
9,9,921.000000
8,6,3774.000000
2,5,5115.000000
0,4,7111.000000
3,0,9765.000000
8,2,7261.000000
8,8,0.000000
7,7,0.000000
0,9,0.000000
8,1,0.000000
8,4,0.000000
4,6,0.000000
1,1,0.000000
9,6,0.000000
8,8,0.000000
1,9,0.000000
6,3,0.000000
3,3,0.000000
2,3,0.000000
5,8,0.000000
7,7,0.000000
2,6,0.000000
8,9,0.000000
0,9,0.000000
4,6,0.000000
0,2,0.000000
1,5,0.000000
5,6,0.000000
7,6,0.000000
9,4,0.000000
0,7,0.000000
1,2,0.000000
7,8,0.000000
0,0,0.000000
8,1,0.000000
8,1,0.000000
7,4,0.000000
5,1,0.000000
6,3,0.000000
9,8,0.000000
2,5,0.000000
0,1,0.000000
4,6,0.000000
7,0,0.000000
2,3,0.000000
6,7,0.000000
3,0,0.000000
2,0,0.000000
0,4,0.000000
3,7,0.000000
2,3,0.000000
3,2,0.000000
1,6,0.000000
5,8,0.000000
0,0,0.000000
7,5,0.000000
6,0,0.000000
4,8,0.000000
0,8,0.000000
4,5,0.000000
9,1,0.000000
6,3,0.000000
8,5,0.000000
3,7,0.000000
7,4,0.000000
8,1,0.000000
3,2,0.000000
5,4,0.000000
1,7,0.000000
3,3,0.000000
7,4,0.000000
9,1,0.000000
2,3,0.000000
4,6,0.000000
3,9,0.000000
4,7,0.000000
0,4,0.000000
